id,creator_id,project_id,approver_contact_id,change_identifier,description,reference,department,status,reason,financial_impact_amount,financial_impact_status,impact_days,created_at,updated_at
1,2,4,158.0,CR1,bring on more people or change the priorrity of project members work,,Technical Support,declined,We may be having some scheduling issues with tech group around testing,14787.0,firm,7.0,2021-11-26 12:06:02,2022-03-24 09:37:52
2,2,4,76.0,CR2,Full sorting alpha across all titles. The ability to choose a record with the mouse ad then move the entire record up or down individually in the list.,,Executive,investigating,New scope added from the sponsor and this is something that they feel is a priority for this project.,17876.0,firm,10.0,2021-11-29 06:15:11,2022-04-11 14:51:41
3,2,4,8.0,CR3,increase budget but does not involve any time more in the plan,CR007,Licensing,submitted,Need more funds to license the new technology not anticipated in plan,21098.0,firm,11.0,2021-11-29 12:50:36,2022-04-11 10:03:08
4,2,4,,CR4,will need to add 2 more marketing resources to project in order to see that the scheduled work is done on time. Also will need to redo schedule to accommodate separation of work.,,Executive,declined,"Need to do this.
Use this link: http://www.umsl.edu/~sauterv/analysis/6840_f03_papers/frese/",22344.0,estimate,0.0,2021-11-30 04:16:49,2022-02-28 13:47:24
5,6,12,,CR1,,,,investigating,budget constraints,50000.0,estimate,,2022-01-16 04:52:49,2022-03-27 11:44:53
6,6,12,,CR2,,,,declined,change test under declined,,,,2022-01-16 05:04:03,2022-01-16 05:04:21
7,2,2,1.0,CR1,further discussions with group to add resources. they agree and is approved,,Executive,investigating,Underestimated cost and resources required for this portion of the planned work,30000.0,estimate,10.0,2022-01-23 04:10:42,2022-03-01 12:11:54
8,2,2,1.0,CR2,require documentation to be developed,,Marketing,declined,Lack of training materials to be available to support marketing efforts after launch,,,7.0,2022-01-23 04:12:12,2022-01-23 04:12:12
9,2,2,1.0,CR3,Resources needed to install VDT in unscheduled country,,Operations,submitted,Ops wants more time to implement in another set of offices in another country,25000.0,estimate,20.0,2022-01-23 04:13:53,2022-01-23 04:13:53
10,42,25,53.0,CR1,We need more efforts to make this tool intuitive,CR001,HR,submitted,Add more budget,5000.0,estimate,5.0,2022-02-07 02:37:59,2022-02-07 02:37:59
11,46,36,66.0,CR1,Description of change required,Change Record,Business,submitted,Reason for Change,35453544.0,firm,-787.0,2022-02-28 03:48:55,2022-02-28 03:48:55
12,46,36,67.0,CR2,Test,Change Record  2,Arts,approved,Test,6545.0,firm,5756.0,2022-02-28 03:50:11,2022-02-28 03:50:11
13,2,2,42.0,CR4,uncertain,,,investigating,not sure yet,123466.0,estimate,3.0,2022-03-04 12:28:25,2022-03-04 13:10:14
14,2,4,5.0,CR5,new resources funding required along with a week to 10 days for added functionality,CMOCR 455,Operations,approved,Added functionality to VDT,33000.0,estimate,9.0,2022-03-05 09:37:29,2022-03-05 09:37:29
15,2,4,7.0,CR6,https://meet.google.com/bib-rejy-guj?authuser=0,CR-PMO-776,Finance,declined,Did not consider the support costs (first year) in the originally approved budget,12000.0,estimate,0.0,2022-03-06 12:01:27,2022-03-24 09:35:02
17,52,56,103.0,CR1,Arrange the schedules of the resources we need. Confirm ability to show up. Need to extend the scheduled end date by 7 days,,Fabrication,approved,resources not available in the planned timeframe to do the specific work required,2765.0,firm,7.0,2022-03-14 06:33:03,2023-02-06 09:41:23
18,56,64,116.0,CR1,Price increase to work the second shift to perform the GWC ECMs,GWC 2nd Shift,,investigating,Summer school will be held at GWC,150000.0,estimate,,2022-03-14 10:31:38,2022-03-14 10:31:38
19,56,64,117.0,CR2,Need to move start date back to Spring Break week.,,PM TEAM,approved,Shipping Delay and School Access,,firm,8.0,2022-03-14 10:47:13,2022-03-14 10:47:13
20,56,64,116.0,CR3,Replace valves at Tech and Shabazz HS,Valve Replacement,,investigating,Client request,150000.0,estimate,,2022-03-15 04:28:47,2022-03-15 04:28:47
21,35,69,127.0,CR1,New development to be done,,Sponsor,investigating,Epic 2 Added functionality,9500.0,estimate,5.0,2022-03-15 12:49:54,2022-03-21 05:34:00
22,35,69,127.0,CR2,new tech resources needed and beck-end developer,,Executive,investigating,Added functionality,10000.0,estimate,14.0,2022-03-21 05:35:25,2022-03-21 05:35:25
23,35,70,146.0,CR1,New development to be done,,Executive,approved,Added functionality,4328.0,firm,3.0,2022-03-21 05:49:14,2022-03-21 05:49:14
24,35,70,146.0,CR2,extend timeframe and establish new plan schedule,,Developers,approved,wanted to extend epic timeframe to accommodate vacation,,,8.0,2022-03-21 05:50:50,2022-03-21 12:36:07
25,6,12,164.0,CR3,new date still to be determined.,,,investigating,time,,,60.0,2022-03-27 11:46:31,2022-03-27 11:51:11
26,6,12,,CR4,,,,investigating,budget constraints,,,,2022-03-27 12:05:44,2022-03-27 12:05:44
27,2,4,111.0,CR7,need to add two more tech support people for one week/5 days. Budget estimate is $5k per week,,IT Infrastructure,investigating,Not enough resources made available for testing,7675.0,firm,0.0,2022-03-31 05:41:12,2022-07-07 05:04:03
28,6,79,,CR1,Again trying to see what gets captured in the CR Form itself.,,,declined,budget constraints,100.0,,1.0,2022-04-09 10:58:42,2022-04-09 12:16:31
29,6,79,168.0,CR2,,,,approved,time,1000.0,estimate,10.0,2022-04-09 12:11:40,2022-04-09 12:12:40
30,6,79,,CR3,yes,,,investigating,budget constraints,10000.0,,,2022-04-09 12:29:55,2022-04-09 12:30:12
31,2,1,71.0,CR1,potential extension of schedule to accommodate the new documents and set up,,PMO,investigating,New security mandate with firewall set up needs to be learned and studied,0.0,estimate,3.0,2022-08-30 07:20:11,2022-08-30 07:20:11
32,2,126,233.0,CR1,we need to delay the tech system install for approximately 2 weeks but could be longer. Could effect opening timing.,CR002,Executive,approved,New security updates for the retail tech systems  will not be available until later than planned,23556.0,firm,14.0,2022-11-02 12:02:56,2024-01-16 07:50:02
33,2,126,233.0,CR2,budget change to purchase security system,CR001,Operations,submitted,Security system not included in design and plan,1796.0,firm,5.0,2022-11-02 12:05:28,2023-03-21 14:01:54
34,2,126,237.0,CR3,Delay construction schedule for inside the store,CR007,Cust Ops,investigating,There has been a delay in procurement of several boxes that are required to complete the full build of the counter,1217.0,firm,6.0,2023-03-21 14:03:58,2023-03-23 06:32:51
35,2,132,284.0,CR1,need to have new paint,,Procurement,investigating,forgot about the style council,1200.0,estimate,,2023-05-04 10:10:11,2024-01-16 07:47:26
36,2,201,614.0,CR1,redo schedule and confirm resources,CR#44,Business Dev.,investigating,resources not able to perform on schedule,10000.0,estimate,30.0,2023-11-07 07:44:08,2023-11-07 07:44:08
37,2,127,242.0,CR1,Final approval and install plan and execution for additional security software for POS,,IT Support,approved,The budget should increase to accept the purchase and install of added security for the POS system,2350.0,estimate,14.0,2024-01-17 04:11:04,2024-01-30 12:54:41
